"Title","Year","IMDb","Rotten.Tomatoes","Runtime"
"In Dubious Battle",2017,6.1,0.3,110
"Wasted on the Young",2010,5.9,0.6,97
"Bickford Shmeckler's Cool Ideas",2006,5.7,0.5,79
"Khumba",2013,5.7,0.44,85
"Regression",2015,5.7,0.15,106
"Long Distance Revolutionary: A Journey with Mumia Abu-Jamal",2013,7.6,0.5,120
"Powder Blue",2009,6.3,0.25,106
"Hello Mary Lou: Prom Night II",1987,5.7,0.42,97
"Lady in a Cage",1964,6.9,0.2,94
"The Shelter",2015,3.6,1,95
"Double Take",2009,6.2,0.77,88
"Ghostbox Cowboy",2018,4.7,0.91,90
"Violet & Daisy",2011,6.1,0.22,88
"Exhibition",2013,5.8,0.84,104
"Assaulted: Civil Rights Under Fire",2013,7,0.6,79
"Friends",1971,6.6,0.17,22
"Baar Baar Dekho",2016,5.3,0.43,141
"Never Steady, Never Still",2017,6,0.79,112
"United in Anger: A History of ACT UP",2012,7.5,0.71,93
"The Stray",2017,5.4,0.4,92
"I, Anna",2012,6,0.61,93
"Heckler",2007,6.1,0.6,80
"A Five Star Life",2013,6.3,0.64,85
"Half Light",2006,6,0.25,110
"Jaffa",2009,6.9,0.5,106
"Mail Order Wife",2004,6.3,0.61,92
"Refusenik",2008,7.9,0.91,120
"Left Behind",2000,4.5,0.16,110
"CBGB",2013,6.6,0.07,102
"I Used to Be Darker",2013,5.6,0.81,89
"The Hunting of the President",2004,6.8,0.74,90
"The Oblong Box",1969,6.1,0.57,96
"Nothing Like the Holidays",2008,6.1,0.53,98
"C.H.U.D.",1984,5.6,0.29,88
"The Killer Is Loose",1956,6.6,0.6,73
"Phantasm: Ravager",2016,5,0.57,85
"Charlotte Rampling: The Look",2011,6.8,0.84,99
"The Vessel",2016,5.3,0.67,86
"The World Made Straight",2015,5.5,0.62,119
"Orphans",1998,7,0.47,101
"Phil Spector",2013,6.2,0.49,92
"Streamers",1983,6.5,0.56,118
"Mexican Gangster",2008,4.1,0.86,101
"Christmas in the Clouds",2001,6.4,0.69,96
"The Golden Era",2014,6.3,0.56,177
"Tenderness",2009,5.5,0.4,101
"Whitewash",2013,5.8,0.83,90
"Wish Upon",2017,5,0.19,90
"Kelly + Victor",2013,5.7,0.74,95
"The Weight of Water",2000,5.9,0.35,114
"The Wedding Year",2019,5.5,0.44,90
"Africa Screams",1949,6.2,0.6,79
"Almost Friends",2017,5.9,0.29,101
"Love Stinks",1999,5.8,0.19,94
"Australia: Land Beyond Time",2002,7.5,0.83,42
"Local Color",2006,6.9,0.35,107
"The Wasted Times",2016,7,0.2,125
"Vampire Cleanup Department",2017,5.8,0.83,93
"Attack of the Killer Tomatoes!",1978,4.6,0.27,83
"Forgetting the Girl",2012,5.3,0.71,85
"Nuclear Nation",2012,6,0.9,96
"Partisan",2015,5.8,0.57,94
"Circle of Iron",1978,5.9,0.43,102
"Red Knot",2014,5.2,0.89,80
"The Viral Factor",2012,5.9,0.56,122
"American Teacher",2011,6.8,0.67,81
"Another Happy Day",2011,6.1,0.44,119
"Broken Ceiling",2018,7.4,0.6,90
"Caroline and Jackie",2013,6.4,0.8,85
"What We Do Is Secret",2008,6.4,0.45,92
"Mama Africa",2011,7,0.75,90
"$ellebrity",2013,5.5,0.63,89
"Brick Lane",2007,6.6,0.68,102
"The Window",2008,6.7,0.92,73
"Policeman",2011,6.3,0.61,105
"Blood Car",2007,5.3,0.63,82
"Wendigo",2001,5,0.6,91
"Abundant Acreage Available",2017,5.8,0.8,80
"The Story of Lovers Rock",2011,6.5,0.83,97
"Prem Ratan Dhan Payo",2015,4.5,0.45,164
"Bad Ass",2012,5.5,0.2,90
"The Mind's Eye",2015,4.6,0.62,87
"Perfect Obedience",2014,6.4,1,99
"Outcast",2010,5.3,0.64,60
"Nobel Son",2007,6.3,0.25,110
"Web Junkie",2014,6.4,0.71,74
"Sharknado 2: The Second One",2014,4,0.61,95
"Shakespeare High",2012,7.2,0.88,82
"Ed and His Dead Mother",1993,6,0.5,93
"Chillerama",2011,5.7,0.4,120
"The Last Witness",2018,5.5,0.33,97
"Hollow",2011,5.7,0.2,91
"Marilyn Hotchkiss' Ballroom Dancing & Charm School",2005,6.5,0.22,103
"Children Shouldn't Play with Dead Things",1973,5.5,0.42,87
"Videocracy",2009,6.5,0.67,85
"RFK Must Die: The Assassination of Bobby Kennedy",2007,7.3,0.57,102
"Adam Resurrected",2008,6.3,0.35,106
"Flowers in the Attic",1987,5.8,0.13,86
"Article 99",1992,6.1,0.43,100
"Maya the Bee Movie",2014,5.9,0.47,89
"A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman",2012,5.9,0.44,85
"Muhammad Ali's Greatest Fight",2013,6.7,0.38,97
"Plush",2013,5.3,0.33,99
"The Discoverers",2014,5.7,0.88,104
"Something to Sing About",1937,6.3,0.83,93
"Video Games: The Movie",2014,6.1,0.18,101
"Grateful Dawg",2000,7.2,0.7,81
"The Dark Backward",1991,5.8,0.45,101
"Half of a Yellow Sun",2013,6.1,0.51,111
"The Great New Wonderful",2005,5.6,0.73,87
"Bio-Dome",1996,4.5,0.04,88
"Road to the Well",2016,6.8,0.75,108
"Collaborator",2011,6,0.73,87
"A Short History of Decay",2014,5.9,0.67,94
"The Pirogue",2012,6.7,0.79,87
"Beloved Sisters",2014,6.1,0.72,138
"The Last Survivors",2014,5.3,0.75,95
"Hunterrr",2015,7,0.57,141
"Mademoiselle Paradis",2017,6.5,1,97
"Spanish Lake",2014,6.5,0.8,79
"Ok Jaanu",2017,5.2,0.38,135
"Escape Plan: The Extractors",2019,4.4,0.27,97
"Fake It So Real",2012,6.5,0.91,95
"1 Night",2017,5.8,0.33,80
"Oblivion Verses",2018,6.6,0.83,92
"Beautiful Something",2015,6.3,0.57,97
"Preservation",2014,4.7,0.58,90
"So Undercover",2012,5,0.06,94
"Entanglement",2018,5.8,0.62,85
"Meet the Mormons",2014,6.9,0.18,78
"Fanny",2013,6.8,0.56,134
"Cavemen",2013,5.3,0.14,88
"Grave Encounters 2",2012,5.1,0.2,95
"The Atoning",2017,4.1,0.6,89
"The Mend",2014,5.6,0.78,111
"New York Doll",2005,7.7,0.9,75
"Patch Town",2014,5.6,0.75,85
"Gigantic",2008,6,0.36,
"The Final Season",2007,6.6,0.24,119
"Free the Mind",2013,6.3,0.75,80
"Steel City",2006,6.5,0.83,95
"The Amateurs",2005,6.3,0.19,96
"The Ghoul",2017,5.6,0.77,88
"The Devil's Violinist",2013,6.1,0.31,122
"Unfinished Business",2015,5.4,0.1,91
"Ticked-Off Trannies with Knives",2010,5.5,0.67,90
"The Good Catholic",2017,5.2,0.42,98
"Keeping Rosy",2014,6.4,0.64,89
"Nate & Margaret",2012,6.2,0.78,80
"Crazy Mama",1975,5.5,0.88,83
"A Simple Curve",2005,6.6,0.63,92
"The Coca-Cola Kid",1985,6,0.44,98
"Slice",2018,4.5,0.57,83
"Nora",2000,6,0.64,106
"Play the Game",2009,6.4,0.27,105
"Friends (With Benefits)",2010,5.2,0.68,94
"Bruno",2000,6.1,0.2,81
"Genius on Hold",2013,7,0.83,91
"Hey Hey It's Esther Blueburger",2008,6.3,0.5,103
"Vice Squad",1953,6.6,0.6,97
"Blueberry",2004,5.2,0.22,124
"Illuminata",1998,6.1,0.4,119
"Freeway II: Confessions of a Trickbaby",1999,5.7,0.3,97
"Road to Nowhere",2010,5.4,0.73,25
"Robot Overlords",2015,4.6,0.61,90
"Tower Block",2012,5.9,0.47,90
"Bait",2000,5.8,0.26,93
"My Father And The Man In Black",2013,6.5,0.65,87
"The End of Love",2013,5.9,0.59,89
"Zenith",2010,6.4,0.55,93
"Around the Block",2013,5.9,0.63,104
"Unraveled",2012,6.2,0.64,
"Everyday People",2004,6.5,0.67,111
"Dead Heat",1988,6.1,0.11,86
"The House by the Sea",2017,6.5,0.91,107
"Walt Before Mickey",2015,5.9,0.17,107
"Bang Bang Baby",2014,5,0.67,90
"Tilt",2017,4.9,0.75,111
"Final Girl",2015,4.7,0.31,90
"Unforgettable",1996,6,0.21,60
"Wild Bill",1995,5.9,0.42,98
"Falling Overnight",2011,6.7,0.4,86
"Desert Blue",1999,6.2,0.37,90
"Guncrazy",1992,5.5,0.63,97
"The Twilight of the Golds",1996,6.5,0.43,92
"All I See Is You",2017,5.4,0.27,109
"Pressure",2015,5.6,0.38,91
"The Girl",2012,6.2,0.53,91
"Entertaining Angels - The Dorothy Day Story",1996,6.1,0.5,110
"Hostile Border",2015,5.4,0.67,88
"Hank and Asha",2014,6.5,0.63,73
"Walter",2015,5.3,0.54,94
"Nostradamus",1994,5.8,0.38,119
"Grand Theft Parsons",2004,6,0.46,88
"Swimfan",2002,5.1,0.15,85
"Kung Fu Elliot",2014,6.4,0.86,81
"Discreet",2017,4.8,0.78,82
"The Living Wake",2007,6.3,0.5,91
"In a Year with 13 Moons",1978,7.5,0.69,124
"War on Whistleblowers: Free Press and the National Security State",2013,7.5,0.6,67
"The Revival",2017,5.4,0.78,85
"Animal",2014,4.7,0.43,84
"Anguish",2015,4.5,0.62,86
"Bleeding Steel",2017,5.2,0.22,109
"Paris Was a Woman",1996,7.4,0.6,75
"For Ellen",2012,6,0.67,94
"The Adventurer: The Curse of the Midas Box",2013,5.4,0.2,100
"Shot",2017,5.3,0.56,86
"Google and the World Brain",2013,6.7,0.6,90
"The Object of Beauty",1991,5.6,0.77,103
"Milton's Secret",2016,5.8,0.38,88
"Kill Your Friends",2015,6,0.23,103
"Sundown",2016,5.4,0.09,103
"Cut Snake",2015,5.8,0.69,94
"Leon The Pig Farmer",1993,5.6,0.83,104
"Tara Road",2005,6,0.4,97
"CodeGirl",2015,6.3,0.6,107
"England Is Mine",2017,5.9,0.52,94
"The Ladies Man",2000,5.2,0.11,84
"A Midsummer Night's Dream",2017,5.5,0.65,116
"Blackball",2003,5.6,0.41,96
"House II: The Second Story",1987,5.4,0.08,88
"Atlas Shrugged: Part II",2012,5.4,0.04,111
"American Renegades",2017,5.4,0.11,106
"Cherry Tree Lane",2010,4.9,0.61,77
"Good",2008,6.2,0.32,92
"The Duke Is Tops",1938,5.5,0.6,73
"Stark Raving Mad",2002,6.4,0.2,30
"Attack of the Crab Monsters",1957,4.9,0.67,62
"Strangerland",2015,5.2,0.41,112
"Blood Ransom",2014,4.6,0.2,101
"Hick",2011,5.6,0.05,99
"Eating Out: All You Can Eat",2009,5.8,0.17,80
"Mad Cowgirl",2006,5.4,0.33,89
"Muse",2017,5.4,0.13,96
"Nurse.Fighter.Boy",2009,6.3,0.8,93
"Small Time",2014,6,0.54,104
"Almost an Angel",1990,5.6,0.29,95
"All Summers End",2017,6,0.2,90
"Radio Free Albemuth",2010,5.6,0.36,111
"Blood and Chocolate",2007,5.5,0.11,98
"Bite",2015,4.9,0.58,88
"A Bird of the Air",2011,6.6,0.3,108
"Fukrey Returns",2017,6.5,0.14,141
"The Ultimate Life",2013,5.8,0.18,105
"Fanney Khan",2018,4.5,0.63,130
"For Pete's Sake",1974,6.2,0.5,90
"Heaven",1987,6.8,0.6,88
"High Fantasy",2017,4.5,0.75,71
"Original Gangstas",1996,5.7,0.53,99
"Two Ninas",2000,6.1,0.67,88
"Song One",2015,5.8,0.33,86
"Harlequin",1980,6.2,0.4,95
"Marfa Girl",2012,5.3,0.27,105
"Uncertain Terms",2014,5.8,0.71,75
"The Great Gabbo",1929,6.1,0.67,92
"Marius",2013,6.7,0.5,130
"The Hollow Point",2016,5.4,0.36,97
"The Homestretch",2014,6.7,0.63,99
"I Am Secretly An Important Man",2010,6.6,0.67,87
"Go Further",2003,6.5,0.59,100
"Days of Grace",2011,6.7,0.65,133
"Lipstick & Dynamite, Piss & Vinegar: The First Ladies of Wrestling",2005,6.9,0.63,83
"Crazy As Hell",2002,5.9,0.53,113
"Sassy Pants",2012,6.2,0.5,88
"Etoiles: Dancers of the Paris Opera Ballet",2001,7.2,0.62,100
"Goodbye World",2013,5.5,0.27,99
"Kill Me Later",2001,6.3,0.26,89
"Strange Wilderness",2008,5.3,0.02,87
"Chongqing Hot Pot",2016,6.6,0.3,94
"Conduct Unbecoming",1975,6.5,0.6,107
"The Evening Star",1996,5.9,0.22,129
"The Woman in the Fifth",2011,5.3,0.59,84
"Just Write",1997,6.3,0.5,102
"Class of Nuke 'Em High",1986,5.7,0.2,85
"A Good Marriage",2014,5.2,0.32,102
"Man Vs.",2015,5.6,0.5,87
"A Night in Old Mexico",2013,5.7,0.43,103
"Antboy",2013,5.2,0.43,77
"Home of the Brave",2006,5.6,0.23,106
"Drunks",1997,6.4,0.57,90
"The Strange Woman",1946,6.7,0.4,100
"Only When I Laugh",1981,6.4,0.57,30
"A Little Trip to Heaven",2005,6,0.33,98
"Strays",1997,5.6,0.4,105
"The Chaperone",2011,5,0.29,103
"Monster Camp",2007,6.6,0.64,81
"The City of Your Final Destination",2009,6.3,0.39,117
"The Penguin King",2012,6.7,0.54,78
"Copwatch",2017,5.2,0.56,95
"Redemption Road",2011,5.7,0.57,91
"Citizen Koch",2013,6.6,0.54,90
"Befikre",2016,3.9,0.3,130
"The Last Broadcast",1998,5.3,0.44,86
"Morlang",2001,6.3,0.56,94
"If I Were You",2013,7,0.13,115
"Falling Angels",2003,6.7,0.63,109
"Don't Worry Baby",2016,5.3,0.57,88
"The Dungeon Masters",2008,6,0.8,87
"Who Is Cletis Tout?",2001,6.3,0.23,92
"Air",2015,5.1,0.17,95
"Age of Heroes",2011,5.6,0.4,90
"Sidekick",2005,5.3,1,15
"X/Y",2014,4.2,0.5,82
"The Little Traitor",2009,6.9,0.41,88
"Coming To My Senses",2017,7.2,0.8,85
"Geronimo",1962,5.8,0.8,115
"All Mistakes Buried",2015,4.9,0.67,84
"Molly",1999,5.8,0.14,85
"Gehenna: Where Death Lives",2016,4.9,0.5,105
"As I Lay Dying",2013,5.4,0.38,110
"The New Radical",2017,6.5,0.58,117
"Beyond the Time Barrier",1960,5.3,0.6,75
"The Freebie",2010,5.1,0.57,78
"The Lady Without Camelias",1953,7.1,0.88,101
"Four Seasons Lodge",2008,6.9,0.88,97
"Sodom and Gomorrah",1962,5.7,0.5,154
"Germans & Jews",2016,7.6,1,76
"The Aryan Couple",2004,6.3,0.12,120
"Jackals",2017,5.1,0.44,85
"And While We Were Here",2013,5.8,0.43,83
"After the Ball",2015,5.9,0.27,101
"YellowBrickRoad",2010,4.7,0.5,98
"The Phoenix Incident",2015,5,0.5,81
"Black Moon Rising",1986,5.5,0.38,100
"Desert Saints",2002,6,0.29,88
"Rage",2014,5,0.12,91
"Faith Connections",2013,7.5,0.4,115
"Tarzan of the Apes",1918,5.7,0.83,73
"Bank Chor",2017,5.9,0.2,120
"Jack and the Beanstalk",1952,6,0.43,94
"Riders",2002,5.5,0.29,83
"Transylvania 6-5000",1985,5,0.18,93
"All the Wilderness",2014,5.8,0.6,85
"Shine",2017,4.7,0.5,105
"Castles in the Sky",2014,6.8,0.67,90
"Alien Trespass",2009,5.7,0.36,90
"Not Wanted",1949,6.9,0.8,91
"The David Dance",2015,7.4,0.33,108
"House Arrest",1996,5.8,0.1,108
"The Baker",2007,6.4,0.14,86
"The Devil Bat",1940,5.5,0.58,68
"Weightless",2017,5.7,0.64,129
"Seven Days in Utopia",2011,6,0.15,100
"Caught",2018,4.3,0.67,110
"From the Hip",1987,6.2,0.22,111
"Ana Maria in Novela Land",2015,5.6,0.5,89
"Traded",2016,5.1,0.4,98
"The Last Sin Eater",2007,5.6,0.19,117
"Scatter My Ashes at Bergdorf's",2013,6.3,0.5,93
"Crocodile Dundee in Los Angeles",2001,4.8,0.11,92
"A Little Help",2010,5.6,0.41,109
"Nancy, Please",2012,5.6,0.89,83
"Greek Pete",2009,5,0.58,75
"3 Nights in the Desert",2014,5.1,0.4,90
"Indiscretion of an American Wife",1953,6.2,0.38,90
"In Search of Beethoven",2009,7.5,0.92,139
"The Loner",2016,4.8,0.63,100
"Fanny, Annie & Danny",2010,6.3,0.67,82
"You Wont Miss Me",2010,4.9,0.64,81
"Uncle Nino",2003,6.7,0.21,104
"Women in Trouble",2009,5.7,0.29,92
"Bring Me the Head of the Machine Gun Woman",2012,5.5,0.5,73
"Dark Night",2017,4.4,0.62,89
"Slugs",1988,5.2,0.38,92
"The Mighty Peking Man",1977,5.3,0.55,86
"Captivated: The Trials of Pamela Smart",2014,6.6,0.75,98
"An American Affair",2008,6.2,0.16,93
"Boys of Abu Ghraib",2014,5.4,0.3,102
"Somewhere Slow",2013,5.3,0.56,96
"Penance",2009,3.4,0.8,60
"The Sand",2015,3.8,0.4,84
"Red Hook Summer",2012,4.9,0.58,121
"Invasion of the Bee Girls",1973,5,0.43,86
"Kissing Candice",2018,5.2,0.73,108
"Private Violence",2014,6.9,0.9,80
"Subject Two",2006,5.4,0.55,93
"Trudell",2005,7.2,0.33,80
"They Wait",2007,5.3,0.4,99
"Killing Kasztner",2008,7,0.79,120
"Kalank",2019,3.6,0.38,166
"A Rumor of Angels",2000,6.9,0.34,106
"Giuliani Time",2006,6.5,0.85,130
"When the Dragon Swallowed the Sun",2010,7.4,0.6,115
"Eaten Alive",1976,5.5,0.29,92
"Dirty",2005,5.6,0.21,97
"The Playroom",2013,5.3,0.54,83
"Wobble Palace",2018,5.3,0.7,86
"The Outrageous Sophie Tucker",2014,7.5,0.74,96
"Begum Jaan",2017,5.6,0.1,128
"Dear Dictator",2018,5,0.16,90
"Tashan",2008,3.8,0.5,120
"Miss Meadows",2014,5.7,0.25,88
"The Sex Monster",1999,5.2,0.33,97
"Nostalgia",2018,5.5,0.39,125
"Ktown Cowboys",2015,6.7,0.33,81
"Harvard Man",2001,4.9,0.33,99
"The Return of Swamp Thing",1989,4.7,0.44,88
"Roth on Roth",2013,7.4,0.63,52
"Sharknado 3: Oh Hell No!",2015,4.1,0.36,93
"Phyllis and Harold",2010,6.3,0.7,85
"Flying Blind",2013,5.6,0.5,30
"Maine",2018,4.9,0.56,118
"Dorfman in Love",2013,6,0.21,92
"The People That Time Forgot",1977,5.4,0.57,91
"A Turtle's Tale 2: Sammy's Escape from Paradise",2012,5.6,0.2,92
"388 Arletta Avenue",2011,4.9,0.56,87
"Abattoir",2016,4.4,0.38,98
"Kilimanjaro - To the Roof of Africa",2002,6.7,0.9,40
"The Black Cat",1981,5.9,0.4,120
"Rough Stuff",2016,4.6,0.8,84
"Old Gringo",1989,5.8,0.42,119
"An Eye for an Eye",2016,6,0.67,106
"The Loss of a Teardrop Diamond",2008,5.8,0.27,102
"The Lesser Blessed",2012,6.1,0.5,86
"Child of God",2014,5.5,0.42,104
"Disfigured",2008,6.5,0.71,96
"Explicit Ills",2008,5.7,0.54,87
"My Son",2017,5.8,0.57,84
"Boynton Beach Club",2005,6.4,0.6,105
"Planeat",2010,7.2,0.4,87
"Strange Nature",2018,4.2,0.43,100
"The Inhabitants",2015,4.1,0.71,90
"The Pebble and the Penguin",1995,5.6,0.11,74
"Divine Access",2015,5.6,0.67,113
"Maya Dardel",2017,5,0.57,104
"Pauly Shore Is Dead",2003,4.4,0.57,82
"Easy Come, Easy Go",1967,5.3,0.43,95
"Doc",1971,6.1,0.38,96
"Arthur Newman",2012,5.7,0.2,93
"Ten 'til Noon",2006,5.5,0.7,83
"Chapter 27",2007,5.7,0.18,84
"Tell Your Children",1936,3.8,0.39,66
"Harbinger Down",2015,4.5,0.43,82
"New Rose Hotel",1999,5.1,0.19,93
"Bless the Child",2000,5.1,0.03,107
"Man On a Mission: Richard Garriott's Road to the Stars",2010,6.9,0.56,83
"Are You Here",2013,5.3,0.08,114
"Making Babies",2019,5.4,0.25,86
"Man Friday",1975,6.4,0.33,115
"Days of Darkness",2007,3.9,0.2,104
"Galore",2013,6.2,0.5,103
"Honeyglue",2015,6.3,0.36,107
"Down the Shore",2011,5.9,0.45,93
"Clifford's Really Big Movie",2004,5.3,0.53,74
"Postman Pat: The Movie",2014,4.6,0.43,88
"Pipe Dream",2002,5.9,0.72,91
"Gravy",2015,5.4,0.3,95
"Sharknado 5: Global Swarming",2017,3.9,0.3,93
"The Night Visitor",1971,6.6,0.13,106
"Dead or Alive: Final",2002,5.7,0.42,89
"Scorched Earth",2018,4.5,0.2,96
"Despite the Falling Snow",2016,5.8,0.09,93
"Three and Out",2008,6.2,0.17,106
"The Passion of Darkly Noon",1995,5.9,0.17,100
"One More Time",2016,5.2,0.53,98
"The Man Who Saw Too Much",2015,7.6,0.89,89
"Irresistible",2006,5.7,0.2,
"Red Flag",2012,5.5,0.74,
"Molly Moon and the Incredible Book of Hypnotism",2015,5.3,0.29,98
"The Vampire Bat",1933,5.7,0.6,65
"Our City Dreams",2008,6.7,0.75,85
"The Nature of Existence",2010,6.5,0.64,94
"Arcadia",2012,6.1,0.6,
"The Sensation of Sight",2006,6.6,0.5,134
"Skills Like This",2007,6.1,0.59,88
"The Empire in Africa",2006,7.2,0.67,87
"The Fanatic",2019,4.3,0.16,88
"Bad Kids Go To Hell",2012,4.5,0.44,91
"Cottage Country",2013,5.6,0.2,91
"Starcrash",1978,4,0.29,92
"Welcome to Happiness",2015,6.1,0.31,108
"Mad As Hell",2014,5.8,0.27,80
"Graduation Day",1981,4.8,0.57,96
"Zus & Zo",2001,6.2,0.42,106
"Eichmann",2007,5.9,0.38,122
"Spin",2003,6.3,0.43,30
"The Darkness",2016,4.4,0.03,101
"The Battle of Pussy Willow Creek",2013,6.4,0.56,95
"Home Sweet Hell",2015,5.4,0.05,98
"Programming The Nation?",2011,6.2,0.38,105
"In Search of Blind Joe Death: The Saga of John Fahey",2013,6.9,1,58
"The Living",2014,6.1,0.5,89
"Three Worlds",2012,6.6,0.38,101
"Broadway Damage",1997,6.6,0.29,111
"Hansel and Gretel Get Baked",2013,4.3,0.71,86
"33 Postcards",2011,6.2,0.27,97
"Loverboy",2005,5.4,0.18,99
"Blame",2011,5.6,0.58,100
"My Boss's Daughter",2003,4.7,0.08,86
"Swim Little Fish Swim",2014,6.6,0.55,95
"The Fabulous Allan Carr",2017,7.3,1,90
"Treading Water",2013,6.1,0.4,92
"Glen or Glenda",1953,4.2,0.35,65
"Sacrifice",2016,5.3,0.31,149
"Turkey Bowl",2011,6.1,0.7,
"Evidence",2013,5.4,0.06,94
"Vikings: Journey to New Worlds",2004,6.8,1,40
"The Boys from County Clare",2003,6.5,0.46,90
"Three Wishes",1995,6.1,0.13,115
"Attack of the Giant Leeches",1959,3.7,0.7,62
"Moving Midway",2007,7.3,1,95
"Rubberneck",2013,5.3,0.62,83
"Cocaine Prison",2019,6.5,0.83,90
"Postal",2007,4.5,0.09,100
"Nomads",1986,5.4,0.22,91
"Santa & Andres",2016,6.8,0.88,105
"Chasers",1994,5.1,0.33,102
"Vidal Sassoon: The Movie",2010,6.5,0.6,90
"Dancing Across Borders",2010,6.3,0.57,88
"Golden Years",2016,6.1,0.29,232
"Man About Town",2006,5.5,0.38,96
"Kingdom of Shadows",2015,6.7,0.79,75
"Love Ranch",2010,5.6,0.13,117
"Manufacturing Dissent",2007,5.7,0.54,97
"Speedway Junky",1999,5.7,0.29,105
"Amador",2010,6.6,0.2,112
"Johnny Cool",1963,6.5,0.4,103
"Radio Dreams",2016,6.1,0.95,93
"The Trouble with Bliss",2011,5.3,0.33,97
"Sanctuary",2017,6.6,1,44
"Dead Man Running",2009,6,0.14,92
"Seven Girlfriends",1999,5.8,0.5,99
"Jackboots on Whitehall",2010,5.2,0.47,91
"The Worst Year of My Life",2015,5.2,0.67,81
"Lebanon, Pa.",2011,6.3,0.5,100
"Closer to God",2014,4.5,0.53,81
"The Celestine Prophecy",2006,4.9,0.04,99
"Electoral Dysfunction",2012,7.1,0.6,90
"Zig Zag",2002,5.9,0.44,118
"Mirzya",2016,4.6,0.62,129
"Fled",1996,5.4,0.16,98
"Grassroots",2012,5.3,0.5,98
"Daytime Drinking",2008,6.7,0.83,116
"Sebastian",1968,6.4,0.33,86
"Axolotl Overkill",2017,5.3,0.64,94
"In the Dark Half",2012,5.4,0.67,85
"Six Dance Lessons in Six Weeks",2014,6.6,0.5,107
"Clara's Ghost",2018,4.3,0.74,92
"Kids in Love",2016,5.2,0.38,87
"Three Night Stand",2013,5.1,0.6,86
"Danika",2006,5.6,0.29,79
"Gahan Wilson: Born Dead, Still Weird",2013,7.4,1,85
"Lucky Numbers",2000,5,0.22,105
"Slender Man",2018,3.2,0.06,93
"K-11",2013,5.1,0.2,88
"The Statement",2003,6.2,0.23,120
"Virtual Revolution",2016,4.9,0.4,92
"Some Kind of Hate",2015,4.5,0.38,82
"Carpool",1996,5,0.13,89
"Chain Letter",2010,4.1,0.33,88
"The Lookalike",2014,5.4,0.2,100
"In Our Nature",2012,5.7,0.47,103
"Spettacolo",2017,6.6,0.92,91
"Summer of Blood",2014,5.3,0.5,86
"Brilliant Lies",1996,6.1,0.8,94
"The Final Terror",1983,5.2,0.38,82
"Bethany",2017,5,0.29,90
"The Best Democracy Money Can Buy",2016,7.6,0.5,114
"Crawl",2011,4.6,0.63,87
"The Wasp Woman",1959,4.7,0.45,63
"Borrowed Time",2013,5.9,0.77,7
"Hellbenders",2013,4.8,0.33,90
"Body",2015,5.2,0.42,99
"Greedy Lying Bastards",2013,5.6,0.67,90
"Helicopter Mom",2015,5.5,0.17,81
"The Brain That Wouldn't Die",1962,4.4,0.38,82
"An American Carol",2008,4.1,0.13,83
"Anastasia",1997,5.5,0.85,94
"This Is Happening",2015,6.1,0.44,84
"Year of the Gun",1991,5.6,0.29,111
"Escape and Evasion",2019,4.8,0.8,92
"Mi America",2015,6.4,0.5,90
"Wilderness Survival for Girls",2004,5.4,0.5,78
"Bride of the Monster",1955,4.2,0.45,69
"Girl on a Bicycle",2013,6.2,0.08,101
"Monogamish",2017,6.2,0.83,
"Dirty Weekend",2015,4.9,0.27,93
"The Butterfly Tree",2017,5.3,0.46,97
"Food of Love",2002,6,0.46,112
"Happily N'Ever After",2006,4.5,0.04,75
"Black November",2012,5.3,0.23,95
"Meet Me in Montenegro",2015,5.8,0.5,90
"Mrs. Hyde",2018,5.2,0.55,73
"Park",2006,5.7,0.36,86
"Cannes Man",1996,5.2,0.5,88
"Gacy",2003,4.7,0.17,88
"The Wilde Wedding",2017,5.1,0.27,95
"The Dust Factory",2004,6,0.09,99
"The Kentuckian",1955,6.3,0.14,104
"The Dinosaur Project",2012,4.6,0.29,83
"Turning Green",2009,5.6,0.42,85
"Paradise",2013,5,0.22,100
"Lace Crater",2015,5.3,0.79,83
"I Love You Too",2010,6,0.54,107
"Shark Attack 3: Megalodon",2002,2.9,0.2,99
"Sharknado 6",2018,3.5,0.27,86
"Red Christmas",2016,4.3,0.45,82
"The Benefactor",2015,5.1,0.26,93
"Eloise",2017,4.6,0.11,92
"Double Dragon",1994,3.8,0.13,96
"Dead Awake",2017,4.6,0.2,99
"Between Strangers",2002,6.1,0.25,95
"Le Chemin",2017,5.8,0.8,96
"Final",2001,5.9,0.42,90
"Chattahoochee",1989,6.4,0.14,97
"Kickin' It Old Skool",2007,4.6,0.02,108
"Fresh",2009,7.4,0.67,114
"The Blackout Experiments",2016,4.2,0.45,78
"Free Ride",2013,5.6,0.14,86
"The Basement",2018,4.6,0.11,98
"With Friends Like These...",1998,5.9,0.5,105
"When Jews Were Funny",2013,5.8,0.67,89
"The Bleeding House",2011,5.1,0.4,86
"Just Do It: A Tale of Modern-day Outlaws",2011,6.9,0.77,90
"The Interrogation of Tony Martin",2018,7.1,0.8,60
"Shakespeare Behind Bars",2005,7.6,0.92,93
"Siberia",2018,4.3,0.13,104
"Vikingdom",2013,3.3,0.43,114
"The Adventurers",2017,5.6,0.14,140
"The Scenesters",2009,5.9,0.43,101
"Small, Beautifully Moving Parts",2011,5.6,0.5,73
"Bark",2002,5,0.14,11
"Orthodox",2014,4.9,0.5,98
