"Title","Year","IMDb","Rotten.Tomatoes","Runtime"
"Colonia",2016,7.1,0.26,110
"Free Fire",2017,6.4,0.68,91
"Life As We Know It",2010,6.5,0.29,114
"To All the Boys: P.S. I Still Love You",2020,6,0.75,101
"Cop Car",2015,6.3,0.8,88
"Urban Cowboy",1980,6.3,0.67,132
"Above the Rim",1994,6.6,0.53,96
"Screwball",2019,7.1,0.94,105
"Prosecuting Evil: The Extraordinary World of Ben Ferencz",2018,7.3,1,83
"The Incident",2014,6.4,0.83,107
"Resident Evil: Extinction",2007,6.3,0.24,94
"American Assassin",2017,6.2,0.35,112
"Open Season",2006,6.1,0.48,86
"Strong Island",2017,6.4,1,107
"Resident Evil: Apocalypse",2004,6.2,0.2,94
"Smoke & Mirrors",2016,6.9,0.83,123
"Sky Ladder: The Art of Cai Guo-Qiang",2017,7.3,1,76
"Kate & Leopold",2001,6.4,0.5,118
"Raiders!: The Story of the Greatest Fan Film Ever Made",2015,6.9,0.91,106
"Then Came You",2019,7,0.59,97
"The Forest of Love",2019,6.4,1,151
"I Called Him Morgan",2016,7.3,0.96,92
"The Money Pit",1986,6.4,0.48,91
"The Angel",2018,6.6,0.75,114
"Burlesque",2010,6.4,0.36,119
"My Masterpiece",2018,7.1,0.86,100
"Mr. Church",2016,7.6,0.24,104
"Murder Mystery",2019,6,0.44,97
"Audrie & Daisy",2016,7.2,0.81,95
"Miss Hokusai",2015,6.7,0.93,93
"Dumplin'",2018,6.6,0.63,110
"The Invention of Lying",2009,6.4,0.56,100
"Breath",2017,6.7,0.8,115
"Kodachrome",2017,6.8,0.72,105
"Operation Red Sea",2018,6.7,0.8,142
"Murder Party",2007,5.8,1,79
"Woodstock: Three Days That Defined a Generation",2019,7.6,0.84,106
"Laggies",2014,6.4,0.65,99
"Eye for an Eye",2019,6.6,0.88,98
"Eddie Murphy: Delirious",1983,8.2,0.83,69
"The Aerial",2007,7.4,0.64,99
"Fire in Paradise",2019,7.4,0.8,39
"Cookie's Fortune",1999,6.8,0.86,118
"Before I Wake",2016,6.2,0.61,97
"Layla M.",2016,6.7,1,98
"Mountain",2018,7.2,0.87,74
"Center Stage",2000,6.7,0.42,115
"Mr. Right",2016,6.3,0.44,95
"Tamasha",2015,7.3,0.67,139
"Just Another Love Story",2007,7.2,0.74,100
"Quartet",2012,6.8,0.8,98
"Bikram: Yogi, Guru, Predator",2019,6.7,0.96,86
"Dolphin Tale 2",2014,6.4,0.65,107
"No One Killed Jessica",2011,7.2,0.8,136
"I Am Bolt",2016,7.1,0.85,107
"Evolution",2001,6.1,0.43,101
"BuyBust",2018,5.8,0.82,127
"Advantageous",2015,6.2,0.84,90
"The Iron Lady",2011,6.4,0.52,105
"Son of a Gun",2014,6.5,0.62,108
"Rugrats in Paris: The Movie",2000,6.1,0.76,78
"On My Skin",2018,7.3,0.6,100
